GEOID,TotalPop,TotalHH,PopWhite,PerWhite,PopBlack,PerBlack,PopAsian,PerAsian,PopAmeInd,PerAmeInd,PopNative,PerNative,PopOthers,PerOthers,Pop2races,Per2races,PopHispnc,PerHispnc,PopNonHisp,PerNonHisp,Pop<15,Per<15,Pop15_64,Per15_64,Pop65+,Per65+,PopEmploy,PerEmploy,PopUnemp,PerUnemp,Pop25wDip,Per25wDip,Pop25woDip,Per25woDip,OwnerHH,PerOwnerHH,RenterHH,PerRentHH,Vehicle,PerVehicle,NoVehicle,PerNoVehi
490351001001,621,219,505,81.32,37,5.96,12,1.93,18,2.9,0,0,25,4.03,24,3.86,104,16.75,517,83.25,87,13.9,496,79.23,43,6.87,395,94.95,21,5.05,427,96.39,16,3.61,125,57.08,94,42.92,179,81.74,40,18.26
490351001002,1186,555,956,80.61,64,5.4,20,1.69,0,0,6,0.51,50,4.22,90,7.59,200,16.86,986,83.14,164,13.82,928,78.18,95,8,725,95.02,38,4.98,702,90,78,10,161,29.01,394,70.99,464,83.6,91,16.4
490351002001,1388,543,1208,87.03,0,0,70,5.04,20,1.44,0,0,18,1.3,72,5.19,90,6.48,1298,93.52,154,11.1,913,65.83,320,23.07,805,95.04,42,4.96,1107,99.46,6,0.54,347,63.9,196,36.1,493,90.79,50,9.21
490351003061,1732,581,575,33.2,98,5.66,12,0.69,0,0,84,4.85,963,55.6,0,0,1126,65.01,606,34.99,508,29.52,1154,67.05,59,3.43,913,91.03,90,8.97,550,66.19,281,33.81,160,27.54,421,72.46,575,98.97,6,1.03
490351003062,2137,769,1077,50.4,37,1.73,368,17.22,13,0.61,348,16.28,180,8.42,114,5.33,570,26.67,1567,73.33,477,22.73,1372,65.36,250,11.91,920,92.84,71,7.16,1086,81.65,244,18.35,212,27.57,557,72.43,589,76.59,180,23.41
490351003063,1601,422,600,37.48,273,17.05,99,6.18,0,0,390,24.36,216,13.49,23,1.44,392,24.48,1209,75.52,486,30.28,930,57.94,189,11.78,700,95.37,34,4.63,676,81.84,150,18.16,265,62.8,157,37.2,396,93.84,26,6.16
490351003071,2082,628,874,41.98,0,0,218,10.47,29,1.39,0,0,882,42.36,79,3.79,1345,64.6,737,35.4,362,17.22,1574,74.88,166,7.9,1116,95.79,49,4.21,1130,74.49,387,25.51,602,95.86,26,4.14,607,96.66,21,3.34
490351003072,2010,396,708,35.22,0,0,78,3.88,304,15.12,55,2.74,865,43.03,0,0,1132,56.32,878,43.68,793,40.46,1104,56.33,63,3.21,786,94.02,50,5.98,671,76.42,207,23.58,226,57.07,170,42.93,396,100,0,0
490351003073,1203,297,592,49.21,136,11.31,83,6.9,0,0,0,0,311,25.85,81,6.73,424,35.25,779,64.75,457,37.89,673,55.8,76,6.3,598,95.37,29,4.63,481,82.08,105,17.92,204,68.69,93,31.31,297,100,0,0
490351003081,2617,752,676,25.83,600,22.93,413,15.78,10,0.38,58,2.22,802,30.65,58,2.22,1118,42.72,1499,57.28,726,27.68,1721,65.61,176,6.71,1089,94.86,59,5.14,956,69.83,413,30.17,113,15.03,639,84.97,646,85.9,106,14.1
490351003082,1816,556,958,52.75,329,18.12,141,7.76,18,0.99,8,0.44,328,18.06,34,1.87,569,31.33,1247,68.67,451,24.74,1255,68.84,117,6.42,912,94.61,52,5.39,919,90.54,96,9.46,255,45.86,301,54.14,513,92.27,43,7.73
490351005001,1248,264,1156,92.63,0,0,0,0,0,0,13,1.04,0,0,79,6.33,77,6.17,1171,93.83,423,33.65,786,62.53,48,3.82,633,97.53,16,2.47,603,97.26,17,2.74,149,56.44,115,43.56,249,94.32,15,5.68
490351005002,1395,403,544,39,0,0,0,0,0,0,0,0,802,57.49,49,3.51,971,69.61,424,30.39,352,25.04,857,60.95,197,14.01,699,88.48,91,11.52,546,69.2,243,30.8,367,91.07,36,8.93,359,89.08,44,10.92
490351005003,1212,515,730,60.23,0,0,23,1.9,0,0,0,0,459,37.87,0,0,541,44.64,671,55.36,27,2.21,896,73.32,299,24.47,722,92.33,60,7.67,966,91.65,88,8.35,411,79.81,104,20.19,495,96.12,20,3.88
490351005004,1107,356,565,51.04,0,0,42,3.79,0,0,0,0,314,28.36,186,16.8,424,38.3,683,61.7,398,36.12,554,50.27,150,13.61,370,100,0,0,441,73.13,162,26.87,210,58.99,146,41.01,335,94.1,21,5.9
490351005005,1565,629,395,25.24,24,1.53,71,4.54,0,0,0,0,1037,66.26,38,2.43,1158,73.99,407,26.01,442,28.06,1098,69.71,35,2.22,838,90.89,84,9.11,499,45.49,598,54.51,0,0,629,100,548,87.12,81,12.88
490351006001,1523,470,1210,79.45,48,3.15,76,4.99,0,0,6,0.39,155,10.18,28,1.84,294,19.3,1229,80.7,462,30.68,958,63.61,86,5.71,600,89.69,69,10.31,722,78.74,195,21.26,295,62.77,175,37.23,427,90.85,43,9.15
490351006002,789,278,381,48.29,0,0,18,2.28,0,0,53,6.72,315,39.92,22,2.79,420,53.23,369,46.77,97,12.08,555,69.12,151,18.8,410,100,0,0,315,57.59,232,42.41,191,68.71,87,31.29,257,92.45,21,7.55
490351006003,1318,407,821,62.29,77,5.84,17,1.29,23,1.75,0,0,307,23.29,73,5.54,431,32.7,887,67.3,360,27.09,882,66.37,87,6.55,800,94.9,43,5.1,696,84.77,125,15.23,205,50.37,202,49.63,384,94.35,23,5.65
490351006004,1493,754,1313,87.94,0,0,90,6.03,0,0,0,0,37,2.48,53,3.55,522,34.96,971,65.04,153,10.19,1063,70.77,286,19.04,715,97.54,18,2.46,967,81.19,224,18.81,559,74.14,195,25.86,635,84.22,119,15.78
490351006005,1286,371,654,50.86,0,0,0,0,0,0,0,0,598,46.5,34,2.64,1051,81.73,235,18.27,111,8.56,1011,77.95,175,13.49,791,100,0,0,540,57.82,394,42.18,271,73.05,100,26.95,331,89.22,40,10.78
490351007001,1342,616,1245,92.77,0,0,0,0,0,0,0,0,57,4.25,40,2.98,156,11.62,1186,88.38,197,14.7,1104,82.39,39,2.91,790,87.49,113,12.51,883,93.05,66,6.95,304,49.35,312,50.65,616,100,0,0
490351007002,802,492,762,95.01,0,0,10,1.25,0,0,0,0,0,0,30,3.74,141,17.58,661,82.42,76,9.35,643,79.09,94,11.56,634,100,0,0,601,98.36,10,1.64,184,37.4,308,62.6,458,93.09,34,6.91
490351007003,994,539,872,87.73,78,7.85,12,1.21,12,1.21,0,0,12,1.21,8,0.8,107,10.76,887,89.24,127,12.82,693,69.93,171,17.26,611,92.16,52,7.84,693,88.17,93,11.83,77,14.29,462,85.71,408,75.7,131,24.3
490351008001,870,490,741,85.17,16,1.84,39,4.48,0,0,0,0,45,5.17,29,3.33,113,12.99,757,87.01,63,7.15,671,76.16,147,16.69,605,96.03,25,3.97,704,93.37,50,6.63,98,20,392,80,434,88.57,56,11.43
490351008002,753,441,648,86.06,0,0,51,6.77,0,0,21,2.79,0,0,33,4.38,44,5.84,709,94.16,42,5.52,462,60.71,257,33.77,457,96.82,15,3.18,691,100,0,0,201,45.58,240,54.42,393,89.12,48,10.88
490351008003,970,489,778,80.21,57,5.88,49,5.05,0,0,5,0.52,53,5.46,28,2.89,86,8.87,884,91.13,27,2.76,619,63.36,331,33.88,481,92.68,38,7.32,596,95.21,30,4.79,25,5.11,464,94.89,382,78.12,107,21.88
490351010001,1253,564,1164,92.9,13,1.04,27,2.15,0,0,0,0,7,0.56,42,3.35,31,2.47,1222,97.53,182,14.42,920,72.9,160,12.68,814,100,0,0,836,95.98,35,4.02,377,66.84,187,33.16,508,90.07,56,9.93
490351010002,1757,844,1707,97.15,8,0.46,8,0.46,0,0,0,0,0,0,34,1.94,88,5.01,1669,94.99,265,15.13,1198,68.42,288,16.45,1047,98.03,21,1.97,1330,99.18,11,0.82,582,68.96,262,31.04,795,94.19,49,5.81
490351011011,1028,575,925,89.98,89,8.66,14,1.36,0,0,0,0,0,0,0,0,60,5.84,968,94.16,81,7.87,900,87.46,48,4.66,703,96.83,23,3.17,825,98.33,14,1.67,172,29.91,403,70.09,575,100,0,0
490351011012,860,536,752,87.44,16,1.86,53,6.16,0,0,0,0,39,4.53,0,0,86,10,774,90,71,8.14,766,87.84,35,4.01,689,98.71,9,1.29,646,97.73,15,2.27,89,16.6,447,83.4,454,84.7,82,15.3
490351011021,1498,941,1314,87.72,0,0,113,7.54,15,1,0,0,18,1.2,38,2.54,80,5.34,1418,94.66,66,4.39,1028,68.4,409,27.21,893,96.12,36,3.88,1230,98.8,15,1.2,67,7.12,874,92.88,850,90.33,91,9.67
490351011022,1379,738,1313,95.21,0,0,32,2.32,17,1.23,0,0,0,0,17,1.23,29,2.1,1350,97.9,95,6.8,1095,78.38,207,14.82,872,96.25,34,3.75,1137,100,0,0,252,34.15,486,65.85,687,93.09,51,6.91
